"Date	ActualValue19	ForecastValue19	PreviousValue19"
"2010.10.15	-1.7		-0.2"
"2010.09.16	-0.2		-1.6"
"2010.08.13	-1.4		-3.0"
"2010.07.16	-3.0		1.4"
"2010.06.15	1.4		0.6"
"2010.05.18	0.0		3.3"
"2010.04.16	3.4		-7.4"
"2010.03.18	1.9		4.4"
"2010.02.17	5.2		3.9"
"2010.01.15	4.0		6.6"
"2009.12.18	4.7		6.8"
"2009.11.17	4.3		1.0"
"2009.10.16	2.2		6.8"
"2009.09.17	6.0		1.0"
"2009.08.17	2.3		0.8"
"2009.07.17	1.1		-0.3"
"2009.06.17	0.7		-2.1"
"2009.05.18	-1.8		-4.0"
"2009.04.17	-2.9		-5.5"
"2009.03.23	-5.4		-0.3"
"2009.02.17	-1.7		-4.9"
"2009.01.16	-4.0		-1.3"
"2008.12.18	-1.3		-5.7"
"2008.11.17	-4.4		-6.1"
"2008.10.17	-5.7		-6.4"
"2008.09.17	-6.7		-3.0"
"2008.08.18	-3.0		-1.5"
"2008.07.18	-1.5		2.2"
"2008.06.17	1.4		-2.4"
"2008.05.16	-1.1		2.1"
"2008.04.17	1.6		-2.0"
"2008.03.19	-1.0		-2.1"
"2008.02.15	-1.8		2.7"
"2008.01.17	2.0		4.0"
"2007.12.18	3.0		3.7"
"2007.11.16	3.6		4.3"
"2007.10.18	4.5		-0.6"
"2007.09.17	0.8		5.2"
"2007.08.21	4.4		3.6"
"2007.07.18	3.9		3.5"
"2007.06.15	2.3		7.4"
"2007.05.22	7.6		0.7"
"2007.02.16	0.6		"
