"Date	ActualValue14	ForecastValue14	PreviousValue14"
"2010.09.14	-4.3		14.0"
"2010.08.17	14.0		21.2"
"2010.07.13	21.2		28.7"
"2010.06.15	28.7		45.8"
"2010.05.18	45.8		53.0"
"2010.04.20	53.0		44.5"
"2010.03.16	44.5		45.1"
"2010.02.16	45.1		47.2"
"2010.01.19	47.2		50.4"
"2009.12.15	50.4		51.1"
"2009.11.10	51.1		56.0"
"2009.10.13	56.0		57.7"
"2009.09.15	57.7		56.1"
"2009.08.18	56.1		39.5"
"2009.07.14	39.5		44.8"
"2009.06.16	44.8		31.1"
"2009.05.19	31.1		13.0"
"2009.04.21	13.0		-3.5"
"2009.03.17	-3.5		-5.8"
"2009.02.17	-5.8		-31.0"
"2009.01.20	-31.0		-45.2"
"2008.12.09	-45.2		-53.0"
"2008.11.11	-53.0		-63.0"
"2008.10.14	-63.0		-41.0"
"2008.09.16	-41.0		-55.5"
"2008.08.19	-55.5		-63.9"
"2008.07.15	-63.9		-52.4"
"2008.06.17	-52.4		-41.4"
"2008.05.20	-41.4		-40.7"
"2008.04.15	-40.7		-32.0"
"2008.03.11	-32.0		-39.5"
"2008.02.12	-39.5		-41.6"
"2008.01.15	-41.6		-37.2"
"2007.12.11	-37.2		-32.5"
"2007.11.13	-32.5		-18.1"
"2007.10.16	-18.1		-18.1"
"2007.09.18	-18.1		-6.9"
"2007.08.21	-6.9		10.4"
"2007.07.17	10.4		20.3"
"2007.06.19	20.3		24.0"
"2007.05.22	24.0		16.5"
"2007.04.17	16.5		5.8"
"2007.03.13	5.8		2.9"
"2007.02.13	2.9		"
