"Date	ActualValue8	ForecastValue8	PreviousValue8"
"2010.06.29	54.3		63.3"
"2010.05.25	62.7		57.9"
"2010.04.27	57.7		52.5"
"2010.03.30	52.3		46.0"
"2010.02.23	46.0		55.9"
"2010.01.26	56.5		52.9"
"2009.12.29	53.6		49.5"
"2009.11.24	50.6		47.7"
"2009.10.27	48.7		53.1"
"2009.09.29	53.4		54.1"
"2009.08.25	54.5		46.6"
"2009.07.28	47.4		49.3"
"2009.06.30	49.3		54.9"
"2009.05.26	54.8		39.2"
"2009.04.28	40.8		29.9"
"2009.03.31	26.9		25.0"
"2009.02.24	25.3		37.7"
"2009.01.27	37.7		38.0"
"2008.12.30	38.6		44.9"
"2008.11.25	44.9		38.0"
"2008.10.28	38.0		59.8"
"2008.09.30	61.4		56.9"
"2008.08.26	58.5		51.9"
"2008.07.29	51.9		50.4"
"2008.06.24	51.0		57.2"
"2008.05.27	58.1		62.3"
"2008.04.29	62.8		64.5"
"2008.03.25	65.9		75.0"
"2008.02.26	76.4		87.9"
"2008.01.29	87.9		88.6"
"2007.12.27	88.6		87.3"
"2007.11.27	87.8		95.6"
"2007.10.30	95.2		99.8"
"2007.09.25	99.5		105.0"
"2007.08.28	105.0		111.9"
"2007.07.31	111.9		103.9"
"2007.06.26	105.3		108.0"
"2007.05.25	108.5		104.0"
"2007.04.24	106.3		107.2"
"2007.03.27	108.2		112.5"
"2007.02.27	111.2		110.3"
