"Date	ActualValue5	ForecastValue5	PreviousValue5"
"2021.09.01	-7.169	-1.939	-2.980"
"2021.08.25	-2.980	-2.028	-3.233"
"2021.08.18	-3.233	-2.125	-0.448"
"2021.08.11	-0.448	-2.190	3.627"
"2021.08.04	3.627	-2.443	-4.089"
"2021.07.28	-4.089	-2.637	2.107"
"2021.07.21	2.107	-2.986	-7.896"
"2021.07.14	-7.896	-3.120	-6.866"
"2021.07.08	-6.866	-3.410	-6.718"
"2021.06.30	-6.718	-3.499	-7.614"
"2021.06.23	-7.614	-3.085	-7.355"
"2021.06.16	-7.355	-2.399	-5.241"
"2021.06.09	-5.241	-0.288	-5.079"
"2021.06.03	-5.079	-0.019	-1.662"
"2021.05.26	-1.662	0.053	1.320"
"2021.05.19	1.320	0.040	-0.426"
"2021.05.12	-0.426	0.004	-7.990"
"2021.05.05	-7.990	0.051	0.090"
"2021.04.28	0.090	1.180	0.594"
"2021.04.21	0.594	0.858	-5.890"
"2021.04.14	-5.890	-2.207	-3.522"
"2021.04.07	-3.522	0.518	-0.876"
"2021.03.31	-0.876	2.129	1.912"
"2021.03.24	1.912	8.070	2.396"
"2021.03.17	2.396	18.683	13.798"
"2021.03.10	13.798	9.319	21.563"
"2021.03.03	21.563	-2.986	1.285"
"2021.02.24	1.285	-4.755	-7.257"
"2021.02.18	-7.257	-5.171	-6.645"
"2021.02.10	-6.645	-2.808	-0.994"
"2021.02.03	-0.994	-2.971	-9.910"
"2021.01.27	-9.910	0.564	4.352"
"2021.01.22	4.352	-5.604	-3.248"
"2021.01.13	-3.248	-7.215	-8.010"
"2021.01.06	-8.010	-1.414	-6.065"
"2020.12.30	-6.065	4.003	-0.562"
"2020.12.23	-0.562	6.038	-3.135"
"2020.12.16	-3.135	7.783	15.189"
"2020.12.09	15.189	-0.671	-0.679"
"2020.12.02	-0.679	0.011	-0.754"
"2020.11.25	-0.754	2.518	0.769"
"2020.11.18	0.769	-1.860	4.277"
"2020.11.12	4.277	-1.899	-7.998"
"2020.11.04	-7.998	1.634	4.320"
"2020.10.28	4.320	-2.410	-1.002"
"2020.10.21	-1.002	-1.666	-3.818"
"2020.10.15	-3.818	-0.739	0.501"
"2020.10.07	0.501	-1.808	-1.980"
"2020.09.30	-1.980	-3.016	-1.639"
"2020.09.23	-1.639	-1.191	-4.389"
"2020.09.16	-4.389	-3.651	2.033"
"2020.09.10	2.033	-7.231	-9.362"
"2020.09.02	-9.362	-2.947	-4.689"
"2020.08.26	-4.689	-3.074	-1.632"
"2020.08.19	-1.632	-5.930	-4.512"
"2020.08.12	-4.512	-9.077	-7.373"
"2020.08.05	-7.373	-3.059	-10.611"
"2020.07.29	-10.611	-1.295	4.892"
"2020.07.22	4.892	-0.938	-7.493"
"2020.07.15	-7.493	-0.756	5.654"
"2020.07.08	5.654	-2.481	-7.195"
"2020.07.01	-7.195	-3.976	1.442"
"2020.06.24	1.442	-5.145	1.215"
"2020.06.17	1.215	-5.411	5.720"
"2020.06.10	5.720	-5.419	-2.077"
"2020.06.03	-2.077	-2.817	7.928"
"2020.05.28	7.928	0.874	-4.982"
"2020.05.20	-4.982	5.457	-0.745"
"2020.05.13	-0.745	8.427	4.590"
"2020.05.06	4.590	8.656	8.991"
"2020.04.29	8.991	8.457	15.022"
"2020.04.22	15.022	4.568	19.248"
"2020.04.15	19.248	2.692	15.177"
"2020.04.08	15.177	2.244	13.833"
"2020.04.01	13.833	2.531	1.623"
"2020.03.25	1.623	3.086	1.954"
"2020.03.18	1.954	2.792	7.664"
"2020.03.11	7.664	2.947	0.784"
"2020.03.04	0.784	-0.124	0.452"
"2020.02.26	0.452	-0.953	0.415"
"2020.02.20	0.415	-1.648	7.459"
"2020.02.12	7.459	-2.417	3.355"
"2020.02.05	3.355	-1.058	3.548"
"2020.01.29	3.548	-2.254	-0.405"
"2020.01.23	-0.405	-1.117	-2.549"
"2020.01.15	-2.549	-2.885	1.164"
"2020.01.08	1.164	-4.135	-11.463"
"2020.01.03	-11.463	-2.937	-5.474"
"2019.12.27	-5.474	-2.899	-1.085"
"2019.12.18	-1.085	-3.670	0.822"
"2019.12.11	0.822	-3.188	-4.856"
"2019.12.04	-4.856	0.695	1.572"
"2019.11.27	1.572	4.439	1.379"
"2019.11.20	1.379	1.096	2.219"
"2019.11.14	2.219	0.778	7.929"
"2019.11.06	7.929	3.412	5.702"
"2019.10.30	5.702	2.667	-1.699"
"2019.10.23	-1.699	2.015	9.281"
"2019.10.17	9.281	0.600	2.927"
"2019.10.09	2.927	-0.193	3.104"
"2019.10.02	3.104	-1.088	2.412"
"2019.09.25	2.412	-6.501	1.058"
"2019.09.18	1.058	-2.782	-6.912"
"2019.09.11	-6.912	-1.301	-4.771"
"2019.09.05	-4.771	-3.753	-10.027"
"2019.08.28	-10.027	-3.898	-2.732"
"2019.08.21	-2.732	-2.721	1.580"
"2019.08.14	1.580	-4.941	2.385"
"2019.08.07	2.385	-6.280	-8.496"
"2019.07.31	-8.496	-7.462	-10.835"
"2019.07.24	-10.835	-6.326	-3.116"
"2019.07.17	-3.116	-5.642	-9.499"
"2019.07.10	-9.499	-6.920	-1.085"
"2019.07.03	-1.085	-8.795	-12.788"
"2019.06.26	-12.788	-0.433	-3.106"
"2019.06.19	-3.106	4.484	2.206"
"2019.06.12	2.206	3.370	6.771"
"2019.06.05	6.771	2.212	-0.282"
"2019.05.30	-0.282	5.101	4.740"
"2019.05.22	4.740	0.770	5.431"
"2019.05.15	5.431	2.984	-3.963"
"2019.05.08	-3.963	8.242	9.934"
"2019.05.01	9.934	2.093	5.479"
"2019.04.24	5.479	2.796	-1.396"
"2019.04.17	-1.396	7.329	7.029"
"2019.04.10	7.029	5.042	7.238"
"2019.04.03	7.238	-3.398	2.800"
"2019.03.27	2.800	-7.155	-9.589"
"2019.03.20	-9.589	1.602	-3.862"
"2019.03.13	-3.862	-0.733	7.069"
"2019.03.06	7.069	0.682	-8.647"
"2019.02.27	-8.647	0.730	3.672"
"2019.02.21	3.672	0.773	3.633"
"2019.02.13	3.633	1.091	1.263"
"2019.02.06	1.263	4.215	0.919"
"2019.01.30	0.919	2.748	7.970"
"2019.01.24	7.970	-2.106	-2.683"
"2019.01.16	-2.683	1.930	-1.680"
"2019.01.09	-1.680	-0.019	0.007"
"2019.01.04	0.007	-0.261	-0.046"
"2018.12.28	-0.046	-0.829	-0.497"
"2018.12.19	-0.497	-4.182	-1.208"
"2018.12.12	-1.208	-1.922	-7.323"
"2018.12.06	-7.323	4.168	3.577"
"2018.11.28	3.577	7.409	4.851"
"2018.11.21	4.851	8.041	10.270"
"2018.11.15	10.270	4.509	5.783"
"2018.11.07	5.783	-0.107	3.217"
"2018.10.31	3.217	-0.062	6.346"
"2018.10.24	6.346	-0.320	6.490"
"2018.10.17	6.490	-0.281	5.987"
"2018.10.11	5.987	5.082	7.975"
"2018.10.03	7.975	-0.105	1.852"
"2018.09.26	1.852	-3.677	-2.057"
"2018.09.19	-2.057	-4.848	-5.296"
"2018.09.12	-5.296	-3.461	-4.302"
"2018.09.06	-4.302	-4.212	-2.566"
"2018.08.29	-2.566	0.461	-5.836"
"2018.08.22	-5.836	2.719	6.805"
"2018.08.15	6.805	1.213	-1.351"
"2018.08.08	-1.351	-1.174	3.803"
"2018.08.01	3.803	-0.189	-6.147"
"2018.07.25	-6.147	-3.401	5.836"
"2018.07.18	5.836	-6.182	-12.633"
"2018.07.11	-12.633	-4.324	1.245"
"2018.07.05	1.245	-8.239	-9.891"
"2018.06.27	-9.891	-5.096	-5.914"
"2018.06.20	-5.914	-1.033	-4.143"
"2018.06.13	-4.143	-0.774	2.072"
"2018.06.06	2.072	1.077	-3.620"
"2018.05.31	-3.620	2.214	5.778"
"2018.05.23	5.778	-1.791	-1.404"
"2018.05.16	-1.404	1.998	-2.197"
"2018.05.09	-2.197	4.257	6.218"
"2018.05.02	6.218	1.117	2.170"
"2018.04.25	2.170	1.117	-1.071"
"2018.04.18	-1.071	2.488	3.306"
"2018.04.11	3.306	2.434	-4.617"
"2018.04.04	-4.617	-0.490	1.643"
"2018.03.28	1.643	1.200	-2.622"
"2018.03.21	-2.622	3.672	5.022"
"2018.03.14	5.022	2.718	2.408"
"2018.03.07	2.408	-0.529	3.019"
"2018.02.28	3.019	-1.202	-1.616"
"2018.02.22	-1.616	3.205	1.841"
"2018.02.14	1.841	1.769	1.895"
"2018.02.07	1.895	-1.330	6.776"
"2018.01.31	6.776	-1.998	-1.071"
"2018.01.24	-1.071	-6.247	-6.861"
"2018.01.18	-6.861	-5.680	-4.948"
"2018.01.10	-4.948	-5.898	-7.419"
"2018.01.04	-7.419	-5.423	-4.609"
"2017.12.28	-4.609	-5.504	-6.495"
"2017.12.20	-6.495	-4.457	-5.117"
"2017.12.13	-5.117	-3.007	-5.610"
"2017.12.06	-5.610	-0.675	-3.429"
"2017.11.29	-3.429	0.694	-1.855"
"2017.11.22	-1.855	0.461	1.854"
"2017.11.15	1.854	-0.433	2.237"
"2017.11.08	2.237	-2.342	-2.435"
"2017.11.01	-2.435	1.187	0.856"
"2017.10.25	0.856	-4.366	-5.731"
"2017.10.18	-5.731	-2.910	-2.747"
"2017.10.12	-2.747	0.579	-6.023"
"2017.10.04	-6.023	3.243	-1.846"
"2017.09.27	-1.846	-2.071	4.591"
