"Date	ActualValue20	ForecastValue20	PreviousValue20"
"2010.07.26	0.315		0.300"
"2010.06.23	0.267		0.504"
"2010.05.26	0.446		0.411"
"2010.04.23	0.439		0.308"
"2010.03.24	0.324		0.309"
"2010.02.24	0.309		0.342"
"2010.01.27	0.348		0.355"
"2009.12.23	0.370		0.430"
"2009.11.25	0.400		0.402"
"2009.10.28	0.405		0.429"
"2009.09.25	0.417		0.433"
"2009.08.26	0.433		0.384"
"2009.07.27	0.395		0.342"
"2009.06.24	0.342		0.352"
"2009.05.28	0.344		0.356"
"2009.04.24	0.351		0.337"
"2009.03.25	0.358		0.309"
"2009.02.26	0.322		0.331"
"2009.01.29	0.344		0.407"
"2008.12.23	0.388		0.433"
"2008.11.26	0.419		0.464"
"2008.10.27	0.457		0.460"
"2008.09.25	0.452		0.515"
"2008.08.26	0.520		0.530"
"2008.07.25	0.503		0.512"
"2008.06.25	0.533		0.526"
"2008.05.27	0.525		0.526"
"2008.04.24	0.526		0.590"
"2008.03.26	0.575		0.589"
"2008.02.27	0.601		0.604"
"2008.01.28	0.605		0.647"
"2007.12.28	0.634		0.728"
"2007.11.29	0.711		0.770"
"2007.10.25	0.716		0.795"
"2007.09.27	0.735		0.870"
"2007.08.24	0.867		0.834"
"2007.07.26	0.846		0.915"
"2007.06.26	0.893		0.981"
"2007.05.24	0.930		0.858"
"2007.04.25	0.844		0.848"
"2007.03.26	0.836		0.937"
"2007.02.28	0.882		1.120"
